id,name,symbol,price_eur,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,max_supply,circulating_supply,infinite_supply
1,Bitcoin,BTC,61478.686986804416,0.70268551,-1.78517899,-2.09345797,2024-10-23T19:52:05.000Z,21000000.0,19771993.0,False
1027,Ethereum,ETH,2323.700957783959,0.85537346,-4.63847491,-4.08653315,2024-10-23T19:52:05.000Z,,120394489.84218328,True
825,Tether USDt,USDT,0.9259121622770732,0.0018188,-0.08419925,-0.13509596,2024-10-23T19:52:05.000Z,,120207481573.62538,True
1839,BNB,BNB,539.0129979394005,0.73917262,-2.2468677,-3.24126225,2024-10-23T19:52:05.000Z,,145931325.40316898,False
5426,Solana,SOL,160.0952806649998,2.03003314,2.43054599,11.85770034,2024-10-23T19:52:05.000Z,,470117541.81108856,True
3408,USDC,USDC,0.926917360013192,-0.01732299,-0.02260723,-0.03140892,2024-10-23T19:52:05.000Z,,34309187458.33337,False
52,XRP,XRP,0.482967019482035,0.9373356,-2.48614642,-5.6262574,2024-10-23T19:52:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1284226503944873,1.98548084,-1.07883004,9.27414073,2024-10-23T19:52:05.000Z,,146490326383.70526,True
1958,TRON,TRX,0.148057709113609,0.23368201,-0.38183418,-0.01309792,2024-10-23T19:52:05.000Z,,86500407606.6568,True
11419,Toncoin,TON,4.724643324972103,0.7117934,-2.38125271,-2.66095205,2024-10-23T19:52:05.000Z,,2541321514.716512,True
1,Bitcoin,BTC,61468.35516721706,0.67423048,-1.79376551,-2.1633288,2024-10-23T19:54:05.000Z,21000000.0,19771993.0,False
1027,Ethereum,ETH,2324.560103182276,0.94434045,-4.57531704,-4.09659046,2024-10-23T19:54:05.000Z,,120394489.84218328,True
825,Tether USDt,USDT,0.9259349962074828,-0.0481631,-0.06400804,-0.11330974,2024-10-23T19:54:05.000Z,,120207481573.62538,True
1839,BNB,BNB,538.76264467232,0.69177618,-2.24509698,-3.27249714,2024-10-23T19:54:05.000Z,,145931325.40316898,False
5426,Solana,SOL,160.0107008406849,2.05791577,2.41741408,11.77420677,2024-10-23T19:54:05.000Z,,470117541.81108856,True
3408,USDC,USDC,0.9268946783912752,-0.03038051,-0.01137355,-0.0097113,2024-10-23T19:54:05.000Z,,34309187458.33337,False
52,XRP,XRP,0.4828400641857428,0.93406698,-2.49105359,-5.65739693,2024-10-23T19:54:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1285599628499429,2.08667295,-0.82477077,9.28705975,2024-10-23T19:54:05.000Z,,146490326383.70526,True
1958,TRON,TRX,0.1480247861654387,0.21713863,-0.37561832,-0.02198747,2024-10-23T19:54:05.000Z,,86500407606.6568,True
11419,Toncoin,TON,4.729967466359239,0.8259049,-2.24409628,-2.5431027,2024-10-23T19:54:05.000Z,,2541321514.716512,True
1,Bitcoin,BTC,61494.74618458913,0.5831041,-1.71211031,-2.14155415,2024-10-23T19:58:05.000Z,21000000.0,19771993.0,False
1027,Ethereum,ETH,2325.9586539753564,0.89859068,-4.53061007,-4.09080178,2024-10-23T19:58:05.000Z,,120394489.84218328,True
825,Tether USDt,USDT,0.9259221202663868,0.00319056,-0.07522054,-0.12864789,2024-10-23T19:58:05.000Z,,120207481573.62538,True
1839,BNB,BNB,538.7731983733921,0.60483065,-2.22733393,-3.3811652,2024-10-23T19:58:05.000Z,,145931325.40316898,False
5426,Solana,SOL,159.54107576165296,1.70031565,2.14272139,11.34281209,2024-10-23T19:58:05.000Z,,470117541.81108856,True
3408,USDC,USDC,0.9269548287503642,0.0105256,-0.01526504,-0.01309825,2024-10-23T19:58:05.000Z,,34309187458.33337,False
52,XRP,XRP,0.4829510390811067,0.80934561,-2.46331364,-5.67540777,2024-10-23T19:58:05.000Z,100000000000.0,56706436160.0,False
